firm_id,index_date,index_year,n_pre_grants,total_pre_amount,max_single_award,years_first_to_index_days,n_grantors_pre,n_active_years_pre,n_phase1_pre,n_phase2_pre,has_dod,has_nih,has_nsf,has_doe,has_nasa,has_usda,state_at_index,event_1m,days_to_event_1m
firm_00001,2021-12-01,2022,1,256000.0,256000.0,0,1,1,1,0,0,0,1,0,0,0,MA,1,891
firm_00002,2015-09-01,2015,1,100000.0,100000.0,0,1,1,1,0,0,0,0,0,0,0,CT,0,3914
firm_00003,2021-06-28,2021,1,249999.0,249999.0,0,1,1,1,0,0,0,0,1,0,0,MI,0,1787
firm_00004,2018-08-20,2013,2,1847954.0,1501871.0,1116,2,2,1,1,0,1,0,0,0,0,NC,0,2830
firm_00005,2020-11-20,2021,1,149999.0,149999.0,0,1,1,1,0,1,0,0,0,0,0,LA,0,2007
firm_00006,2012-02-20,2010,4,1049997.0,729998.0,2265,3,4,3,1,1,0,0,1,0,0,CA,1,5196
firm_00007,2012-11-06,2012,1,100000.0,100000.0,0,1,1,1,0,1,0,0,0,0,0,NC,0,4943
firm_00008,2010-04-15,2010,7,1319818.0,749995.0,2165,3,5,6,1,1,0,0,0,0,0,AZ,0,5879
firm_00009,2012-02-20,2012,1,149940.0,149940.0,0,1,1,1,0,0,0,0,1,0,0,CO,0,5203
firm_00010,2010-01-27,2010,34,10660471.0,1097700.0,2206,5,7,21,13,1,0,0,0,1,0,PA,0,5957
firm_00011,2020-06-30,2020,1,138369.0,138369.0,0,1,1,1,0,0,0,0,0,0,0,NC,0,2150
firm_00012,2018-01-01,2018,1,224996.0,224996.0,0,1,1,1,0,0,0,1,0,0,0,AZ,0,3061
firm_00013,2010-01-29,2010,38,10973956.0,755177.0,2160,7,7,24,14,1,0,0,0,1,0,MA,0,5955
firm_00014,2021-02-15,2021,1,256000.0,256000.0,0,1,1,1,0,0,0,1,0,0,0,MA,1,507
firm_00015,2011-06-17,2010,5,529135.0,219136.0,2709,3,3,4,1,0,0,0,1,1,0,CA,0,5451
firm_00016,2015-06-17,2015,1,149971.0,149971.0,0,1,1,1,0,1,0,0,0,0,0,CO,0,3990
firm_00017,2020-06-01,2020,1,256000.0,256000.0,0,1,1,1,0,0,0,1,0,0,0,MD,0,2179
firm_00018,2011-02-07,2011,1,100000.0,100000.0,0,1,1,1,0,1,0,0,0,0,0,MI,0,5581
firm_00019,2022-07-06,2022,1,143067.0,143067.0,0,1,1,1,0,0,0,0,0,0,0,WA,0,1414
firm_00020,2016-01-01,2016,1,149940.0,149940.0,0,1,1,1,0,0,0,1,0,0,0,MI,0,3792
