firm_id,index_date,index_year,split,event_1m,days_to_event_1m,event_5m,days_to_event_5m,event_10m,days_to_event_10m,censoring_horizon_days,n_pre_grants,total_pre_amount,max_single_award,years_first_to_index_days,n_grantors_pre,n_active_years_pre,n_phase1_pre,phase1_to_phase2_days,has_dod,has_nih,has_nsf,has_doe,has_nasa,has_usda,state_at_index,n_trl_observations,trl_mean_pre,trl_volatility,trl_max_pre,trl_min_pre,trl_first_grant,trl_at_index,trl_delta,trl_velocity_per_year,trl_span_days,has_embedding,amt_bucket,trl_delta_bin,is_troll,vc_AdTech,vc_AgriTech,vc_Artificial_Intelligence,vc_B2B_SaaS,vc_BioTech,vc_Blue_Economy_and_OceanTech,vc_CleanTech,vc_ClimateTech,vc_Cloud_Infrastructure,vc_Creator_Economy,vc_Cybersecurity,vc_DeepTech,vc_ESG_Technology,vc_EdTech,vc_ElderTech,vc_FinTech,vc_FoodTech,vc_Frontier_and_Dual_Use_Tech,vc_Gaming_and_eSports,vc_GovTech,vc_HRTech,vc_HealthTech,vc_IndustrialTech,vc_InsurTech,vc_LegalTech,vc_MarTech,vc_MedTech,vc_Media_and_Entertainment_Tech,vc_Mobility_and_Transportation_Tech,vc_NeuroTech,vc_PetTech,vc_PropTech,vc_Smart_Cities_and_Urban_Innovation,vc_SpaceTech,vc_SportsTech
firm_00005,2010-03-15,2010,train,0,5910,0,5910,0,5910,5910,6,1219820.0,749995.0,2134,3,5,5,2134.0,1,0,0,0,0,0,AZ,6.0,3.333333333333333,1.2110601416389968,5.0,2.0,4.0,5.0,1.0,0.171157450796626,2134.0,True,500K-1.5M,small_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46931744,0.0,0.0,0.0,0.0,0.0,0.37537104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30316937,0.0,0.0,0.31165558,0.0,0.0,0.0,0.0,0.0
firm_00007,2010-12-03,2010,train,0,5647,0,5647,0,5647,5647,42,12459069.0,1097700.0,2516,6,7,28,2516.0,1,0,0,0,1,0,PA,42.0,3.5,1.4691958975459514,7.0,2.0,3.0,7.0,4.0,0.5806836248012718,2516.0,True,>6M,big_up,1,0.0,0.0,0.0,0.0,0.0,0.3098523,0.0,0.3395509,0.0,0.0,0.0,0.32498175,0.0,0.0,0.0,0.0,0.0,0.36347345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00009,2009-12-03,2010,train,0,6012,0,6012,0,6012,6012,36,10273957.0,755177.0,2103,7,6,23,2103.0,1,0,0,0,1,0,MA,36.0,3.6666666666666665,1.3093073414159544,6.0,2.0,4.0,4.0,0.0,0.0,2103.0,True,>6M,flat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36652285,0.0,0.0,0.0,0.33012152,0.0,0.0,0.0,0.0,0.0,0.3253735,0.0,0.0,0.0,0.0,0.0,0.0,0.3014972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00020,2009-12-10,2010,train,0,6005,0,6005,0,6005,6005,8,3219650.0,749954.0,1970,3,4,4,1970.0,1,0,0,0,1,0,CA,8.0,3.5,0.5345224838248487,4.0,3.0,3.0,4.0,1.0,0.1854060913705583,1970.0,True,3M-6M,small_up,0,0.0,0.0,0.0,0.0,0.31767467,0.0,0.0,0.31897303,0.0,0.0,0.0,0.35350052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37340206,0.0
firm_00025,2010-07-22,2010,train,0,5781,0,5781,0,5781,5781,25,6282149.0,1418000.0,2422,4,8,18,2422.0,1,0,0,0,0,0,CA,25.0,3.48,1.1590225767142472,5.0,2.0,4.0,5.0,1.0,0.1508051197357555,2422.0,True,>6M,small_up,0,0.0,0.0,0.0,0.0,0.0,0.32220805,0.0,0.0,0.0,0.0,0.0,0.31645304,0.0,0.0,0.0,0.0,0.0,0.33381057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00027,2009-09-24,2010,train,0,6082,0,6082,0,6082,6082,4,1547267.0,1227510.0,624,2,2,3,624.0,1,0,0,0,0,0,CO,4.0,2.5,1.0,4.0,2.0,2.0,4.0,2.0,1.1706730769230769,624.0,True,1.5M-3M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35248008,0.0,0.0,0.0,0.0,0.0,0.3716331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00028,2010-03-30,2010,train,0,5895,0,5895,0,5895,5895,80,33921863.0,4273910.0,2336,7,8,52,2296.0,1,0,0,0,0,0,CA,80.0,3.6,1.2283569348905352,6.0,2.0,4.0,2.0,-2.0,-0.3127140410958904,2336.0,True,>6M,negative,1,0.0,0.0,0.0,0.38908556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37888736,0.0,0.0,0.0,0.0,0.0,0.3749811,0.36912158,0.0,0.0,0.0,0.0,0.0,0.38276002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00033,2011-05-05,2010,train,0,5494,0,5494,0,5494,5494,23,6550740.0,999100.0,2778,7,9,17,2778.0,1,0,1,0,1,0,CO,23.0,3.260869565217391,1.2869057782967015,6.0,2.0,4.0,6.0,2.0,0.2629589632829373,2778.0,True,>6M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31336978,0.0,0.0,0.0,0.3497455,0.0,0.0,0.0,0.0,0.0,0.32248884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31657162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00038,2013-01-23,2010,train,0,4865,0,4865,0,4865,4865,6,1936485.0,1225340.0,3334,2,6,4,3334.0,1,0,0,0,0,0,IN,6.0,3.6666666666666665,1.96638416050035,6.0,2.0,4.0,6.0,2.0,0.2191061787642471,3334.0,True,1.5M-3M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.38271552,0.34627455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33569545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00039,2010-09-01,2010,train,0,5740,0,5740,0,5740,5740,11,5122107.0,1704270.0,1643,3,5,7,1643.0,1,0,0,0,0,0,MA,11.0,3.272727272727273,1.1037127426019049,5.0,2.0,3.0,5.0,2.0,0.4446135118685331,1643.0,True,3M-6M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32939765,0.0,0.0,0.0,0.30333063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00040,2008-12-16,2010,train,0,6364,0,6364,0,6364,6364,5,1533730.0,750000.0,1750,3,4,3,1750.0,1,0,0,0,0,0,CA,5.0,4.0,1.0,5.0,3.0,3.0,5.0,2.0,0.4174285714285714,1750.0,True,1.5M-3M,big_up,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4368506,0.0,0.0,0.0,0.0,0.0,0.3410729,0.0,0.0,0.0,0.0,0.3278036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firm_00043,2009-12-17,2010,train,0,5998,0,5998,0,5998,5998,183,59479241.0,1359930.0,2272,9,7,117,2272.0,1,0,0,0,1,0,AL,183.0,3.628415300546448,1.0290618805739145,7.0,2.0,4.0,4.0,0.0,0.0,2272.0,True,>6M,flat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31454733,0.0,0.0,0.0,0.0,0.0,0.45562267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32075438,0.0
